Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-105.5022	-133.4669	27.96465	0.0220426	0.0667326	0.0667296	0.0221277	0.0787776	0.123657	0.0591499	0.0590422	0.0387279	0.0260585	0.145974	0.0380203	0.0122217	0.0665004	0.113805	0.133079	0.0276316	0.0366808	0.00095867	0.00365714	0.0395608	0.217924	0.0801674	0.0111437	0.00938745	0.0886202	0.0114537	0.144697	0.051628	0.770011	1.25299	0.2755073	1.724493	0.754239	0.871487	0.957993	1.04385	1.14746	1.32584	0.2039387	6.259336	0.6759934	0.0122721	0.037153	0.0371513	0.0123195	0.0438589	0.0688452	0.0329314	0.0328714	0.0215615	0.0145079	0.0812703	0.0211676	0.00680439	0.0370237	0.0633605	0.0740908	0.0153837	0.0204218	0.000533734	0.00203609	0.0220252	0.121328	0.0446327	0.00620421	0.00522641	0.0493388	0.00637679	0.0805592	0.0287436	0.788548	0.211452	0.7885476	1.796157
36	-96.71147	-126.2684	29.55696	0.00340276	0.0101221	0.00400329	0.0146081	0.0222398	0.015669	0.0497314	0.0341331	0.00134592	0.0133932	0.0127945	0.0118262	0.0068024	0.0127086	0.0255517	0.0473803	0.00274	0.00153772	3.26908e-05	0.00549849	0.00523597	0.0200809	0.0144176	0.0010295	0.00557745	0.00336658	0.000408996	0.0039993	0.0278533	0.453728	1.6009	0.420365	1.579635	0.183988	0.437962	0.77292	1.29379	2.2833	5.43512	1.224071	3.75777	0.3117628	0.00901415	0.0268141	0.010605	0.0386978	0.0589149	0.0415083	0.131742	0.090421	0.00356543	0.0354796	0.0338935	0.0313283	0.01802	0.0336659	0.0676883	0.125514	0.00725846	0.00407353	8.66002e-05	0.0145659	0.0138705	0.0531958	0.0381933	0.00272721	0.0147751	0.0089183	0.00108346	0.0105944	0.0737854	0.205389	0.794611	0.2053887	0.3774908
72	-91.77381	-119.3475	27.57374	0.0306473	0.00821878	0.00657971	0.025158	0.0041337	0.0575194	0.0289169	0.0401036	0.0242607	0.00224546	0.00544738	0.0217623	0.0551695	0.0191638	0.0283944	0.128981	0.030588	0.0237504	0.0105167	0.009774	0.0379143	0.0138556	0.0927335	0.00352385	0.0571617	0.00195659	0.0170657	0.0093191	0.0568929	0.283311	1.78836	0.1081928	1.891807	0.218276	0.476027	0.793281	1.26059	2.10072	4.58135	1.100507	17.48552	0.1742616	0.0359813	0.00964924	0.00772489	0.0295367	0.00485316	0.0675305	0.0339498	0.0470835	0.0284832	0.00263627	0.00639548	0.0255499	0.0647716	0.0224992	0.0333364	0.15143	0.0359118	0.027884	0.0123471	0.0114751	0.0445132	0.0162671	0.108873	0.00413717	0.0671106	0.00229713	0.0200359	0.0109411	0.066795	0.779341	0.220659	0.7793407	0.8517543
108	-93.08607	-121.6908	28.60475	0.0280795	0.00676065	0.000812495	0.000717116	0.00537928	0.00323888	0.0214458	0.0321793	0.0262445	0.0127071	0.0249889	0.051824	0.00559389	0.0151574	0.0577673	0.0536207	0.0368911	0.0155806	0.0204785	0.0387064	0.0125275	0.0194164	0.0536106	0.00462585	0.0132931	0.0294238	0.00109693	0.00339301	0.0839417	0.267123	1.80617	0.1811259	1.818874	0.206944	0.463809	0.786872	1.27086	2.15606	4.83223	1.139057	10.04204	0.1626844	0.0413236	0.00994941	0.00119572	0.00105535	0.00791649	0.00476655	0.031561	0.0473572	0.0386232	0.0187006	0.0367753	0.0762676	0.00823234	0.0223066	0.0850142	0.0789117	0.0542913	0.0229295	0.0301374	0.0569629	0.0184362	0.0285744	0.0788969	0.00680771	0.0195631	0.043302	0.00161431	0.00499337	0.123534	0.365043	0.634957	0.3650432	0.6795023
144	-93.95356	-124.0172	30.06366	0.0291542	0.0243134	0.000688108	0.0055669	0.0451357	0.0115267	0.0607544	0.0994831	0.00915783	0.00254993	0.0718877	0.0782215	0.0210788	0.049491	0.08035	0.0895473	0.00289063	0.0262955	0.0188193	0.0260605	0.0302669	0.033381	0.0875359	0.0248468	0.024126	0.0616554	0.0349246	0.00999106	0.0296225	0.404099	1.65549	0.4272524	1.572748	0.512083	0.721514	0.903181	1.1072	1.38597	1.95281	0.4839269	3.681074	0.2685055	0.0267636	0.0223197	0.000631684	0.00511042	0.0414347	0.0105816	0.0557726	0.0913256	0.0084069	0.00234084	0.065993	0.0718075	0.0193503	0.0454328	0.0737614	0.0822045	0.00265361	0.0241393	0.0172761	0.0239236	0.0277851	0.0306438	0.0803581	0.0228094	0.0221477	0.0565998	0.0320609	0.00917181	0.0271935	0.590744	0.409256	0.5907444	1.089323
180	-89.62404	-117.9206	28.29653	0.0227672	0.00360874	0.00708836	0.00635477	0.00584024	0.00549747	0.0479866	0.0222519	0.0277352	0.0297698	0.0707245	0.0199393	0.0274659	0.0121459	0.0596336	0.0429344	0.00918659	0.0103591	0.00859416	0.00237893	0.0327566	0.0794211	0.0544292	0.018408	0.00459053	0.0119522	0.00451697	0.0221152	0.0592066	0.538732	1.50739	0.1785637	1.821436	0.324236	0.577358	0.842511	1.18693	1.73203	3.08418	0.8143814	10.20048	0.3931325	0.0312025	0.00494579	0.00971461	0.00870923	0.00800406	0.0075343	0.0657658	0.0304963	0.0380111	0.0407995	0.0969282	0.0273269	0.0376422	0.016646	0.0817281	0.0588417	0.0125903	0.0141972	0.0117783	0.00326033	0.044893	0.108847	0.0745954	0.0252282	0.00629133	0.0163805	0.00619052	0.0303089	0.0811429	0.802883	0.197117	0.8028826	0.7296591
216	-91.40818	-122.1319	30.72375	0.0111277	0.00527446	0.000514351	0.0169084	0.00576749	0.0159777	0.0397963	0.0321787	0.0253489	0.0392492	0.0552829	0.0558961	0.0591636	0.0646439	0.00381749	0.109297	0.0813043	0.0347793	0.00141435	0.0040268	0.0166773	0.0140332	0.0130836	0.0368184	0.0597977	0.00905657	0.00637272	0.0194049	0.0509059	0.531206	1.51567	0.8798198	1.12018	0.240728	0.499309	0.805187	1.24195	2.00277	4.15406	1.029713	1.273193	0.3855229	0.0125324	0.00594025	0.000579277	0.0190427	0.0064955	0.0179946	0.0448197	0.0362405	0.0285486	0.0442036	0.0622612	0.0629518	0.0666317	0.0728038	0.00429936	0.123094	0.0915671	0.0391695	0.00159288	0.0045351	0.0187825	0.0158046	0.0147351	0.0414659	0.0673458	0.0101998	0.00717713	0.0218543	0.0573317	0.356529	0.643471	0.3565292	0.8879197
252	-100.7107	-125.1737	24.46298	0.0109786	0.0107654	0.00193701	0.0195813	0.00540271	0.0186986	0.0427906	0.0406176	0.028463	0.0257934	0.00207538	0.0225232	0.0157773	0.00459857	0.0247759	0.19625	0.0691786	0.00532273	0.00361436	0.00435584	0.0172345	0.0228432	0.0121839	0.0180915	0.013628	0.00922327	0.0403369	0.00967527	0.0280827	1.43978	0.516241	0.07671292	1.923287	0.24205	0.500644	0.805858	1.24091	1.99743	4.13137	1.025752	25.07123	3.067864	0.0151471	0.014853	0.00267247	0.0270161	0.00745408	0.0257983	0.0590378	0.0560397	0.0392702	0.0355869	0.00286338	0.0310751	0.0217678	0.00634461	0.0341831	0.270765	0.0954452	0.00734373	0.0049867	0.00600971	0.0237784	0.0315166	0.01681	0.0249607	0.0188024	0.0127253	0.0556525	0.0133489	0.0387455	0.443776	0.556224	0.443776	0.7247997
288	-96.10921	-125.7317	29.62246	0.0158387	0.00286918	0.0256677	0.0128555	0.00962053	0.0559838	0.0286927	0.0473906	0.00578562	0.0609854	0.0181424	0.000559572	0.170161	0.0551813	0.0100795	0.0337986	0.049328	0.0177906	0.0199553	0.039713	0.0215875	0.0736585	0.0375026	0.031453	0.0962715	0.0649858	0.039426	0.00713664	0.0275489	0.683737	1.34789	0.4601248	1.539875	0.499133	0.712556	0.899668	1.11152	1.4034	2.00348	0.5024484	3.346647	0.5579918	0.0146659	0.00265673	0.0237671	0.0119036	0.00890815	0.0518384	0.0265681	0.0438814	0.0053572	0.0564695	0.016799	0.000518137	0.157561	0.0510952	0.00933311	0.0312959	0.0456754	0.0164732	0.0184776	0.0367723	0.019989	0.0682043	0.0347256	0.029124	0.0891428	0.0601737	0.0365066	0.00660819	0.025509	0.436885	0.563115	0.4368852	1.079969
324	-93.01185	-122.8232	29.81131	0.0510138	0.0235838	0.00168884	0.0166798	0.0189054	0.011735	0.0498647	0.085432	0.00585051	0.0164344	0.0243663	0.00249707	0.0252309	0.0508457	0.00672424	0.0592709	0.0196081	0.00421739	0.0014836	0.00447626	0.0366461	0.012846	0.0158111	0.0521077	0.0339568	0.0089413	0.00473829	0.00614776	0.065099	0.573686	1.46895	0.3424634	1.657537	0.618154	0.790892	0.929425	1.07593	1.26439	1.61772	0.3478086	4.84004	0.4295971	0.0712282	0.0329289	0.00235805	0.0232892	0.0263967	0.016385	0.0696238	0.119285	0.00816879	0.0229466	0.0340215	0.00348654	0.0352287	0.0709934	0.00938874	0.0827572	0.0273778	0.00588854	0.00207148	0.00624999	0.0511672	0.0179363	0.0220764	0.0727556	0.0474123	0.0124843	0.00661584	0.00858383	0.0908946	0.614581	0.385419	0.6145814	0.7162029
