Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-88.86282	-117.5839	28.72104	0.00957857	0.0142181	0.00948305	0.0377621	0.0200819	0.0560067	0.0310007	0.035263	0.0107994	0.0293919	0.0129208	0.00565041	0.0277594	0.0433566	0.00987227	0.0786839	0.00857728	0.042364	0.00369485	0.00438581	0.0267134	0.00478604	0.00537801	0.00180047	0.000510267	0.0690547	0.0196182	0.0769969	0.0246738	0.462221	1.59156	0.2091906	1.790809	0.320615	0.574205	0.841072	1.18896	1.74154	3.11901	0.8225022	8.560659	0.3194625	0.0132965	0.0197368	0.0131639	0.0524195	0.0278767	0.0777457	0.0430336	0.0489503	0.0149912	0.0408005	0.0179361	0.00784362	0.0385343	0.0601856	0.0137042	0.109225	0.0119066	0.0588077	0.00512902	0.00608817	0.0370823	0.00664375	0.00746549	0.00249933	0.000708328	0.0958584	0.0272331	0.106883	0.0342509	0.4619	0.5381	0.4618999	0.7203825
36	-98.13987	-124.5188	26.37894	0.00665893	0.0192111	0.00937791	0.0212477	0.0330435	0.0114754	0.0529231	0.115751	0.0167853	0.067377	0.00575014	0.00456829	0.0343266	0.0286954	0.148029	0.224264	0.0174209	0.238901	0.109566	0.0243927	0.0498919	0.0188351	0.0121658	0.000480751	0.0151226	0.0426312	0.0241919	0.0487329	0.0375985	1.07714	0.915149	0.2386063	1.761394	0.144515	0.389303	0.745036	1.34222	2.56869	6.91969	1.398683	7.382008	1.294708	0.00462613	0.0133465	0.00651509	0.0147613	0.0229562	0.00797227	0.0367671	0.0804152	0.0116612	0.0468086	0.00399477	0.00317371	0.0238476	0.0199355	0.10284	0.155802	0.0121028	0.165971	0.0761183	0.0169462	0.0346612	0.0130852	0.00845194	0.00033399	0.0105061	0.0296171	0.0168068	0.0338561	0.0261207	0.34585	0.65415	0.3458498	1.439415
72	-89.41928	-117.3231	27.90387	0.00331898	0.00772014	0.00562743	0.0049288	0.00122149	0.0147287	0.0210855	0.0316	0.0127129	0.00927128	0.00861444	0.00238381	0.0289721	0.0167953	0.0198583	0.0671245	0.0188682	0.0289854	0.017301	0.00573916	0.0128323	0.00693083	0.0147306	0.00289253	0.0184069	0.0132533	0.0281848	0.0204763	0.0040213	0.807148	1.21214	0.2061643	1.793836	0.248952	0.507556	0.809313	1.23562	1.97023	4.01684	1.005424	8.700999	0.7324772	0.00739874	0.0172099	0.0125448	0.0109874	0.00272297	0.0328336	0.0470043	0.0704436	0.02834	0.0206678	0.0192035	0.00531404	0.0645854	0.0374406	0.0442686	0.149636	0.0420615	0.0646149	0.0385679	0.0127939	0.0286061	0.0154504	0.0328379	0.00644809	0.0410331	0.0295446	0.0628302	0.0456462	0.00896439	0.414783	0.585217	0.4147831	0.4485865
108	-92.85433	-121.9763	29.122	0.0333993	0.0088944	0.00872339	0.000313645	0.00967484	0.00964168	0.0345576	0.0393369	0.00158292	0.0343065	0.020846	0.0110391	0.0360156	0.00746664	0.0255489	0.0741732	0.00549255	0.0191208	0.0190021	0.0355109	0.0265955	0.0231861	0.0169772	0.0116598	0.00222315	0.0312611	0.0144756	0.0316728	0.00329506	0.98876	1.01236	0.2954026	1.704597	0.977068	0.988749	0.996476	1.00354	1.01138	1.02347	0.01677474	5.770422	1.074354	0.0560398	0.0149236	0.0146367	0.000526256	0.0162331	0.0161775	0.0579832	0.0660022	0.00265594	0.0575619	0.034977	0.0185222	0.0604295	0.0125281	0.0428678	0.124453	0.0092158	0.0320822	0.0318831	0.0595827	0.0446239	0.0389033	0.0284855	0.0195637	0.00373015	0.0524521	0.0242881	0.0531429	0.00552869	0.775531	0.224469	0.7755306	0.5959934
144	-89.49872	-119.4555	29.95676	0.029477	0.0186444	0.0281941	0.00186732	0.0236652	0.0100248	0.0244608	0.0467573	0.00742949	0.0127115	0.043362	0.00936541	0.0248819	0.0343715	0.0400583	0.135795	0.001994	0.0311709	0.059448	0.0169474	0.0142298	0.0102036	0.0136802	0.00150917	0.000571243	0.0630232	0.00717805	0.00635045	0.0201205	0.587922	1.45329	0.4454289	1.554571	0.43392	0.665524	0.880705	1.13545	1.50257	2.30457	0.6036858	3.490054	0.4450016	0.0399693	0.0252809	0.0382297	0.00253198	0.0320887	0.0135931	0.0331675	0.0634004	0.010074	0.0172361	0.0587965	0.012699	0.0337385	0.0466059	0.0543169	0.184131	0.00270376	0.0422661	0.0806082	0.0229797	0.0192948	0.0138355	0.0185496	0.00204635	0.000774574	0.085456	0.00973304	0.00861086	0.0272823	0.0895463	0.910454	0.08954634	0.7374926
180	-94.50227	-122.7213	28.21903	0.00282003	0.0138137	0.00420254	0.000579602	0.00345975	0.0090108	0.0410996	0.0461229	0.0159872	0.00464877	0.000127448	0.0144393	0.0399101	0.00328628	0.0593949	0.111798	0.000737503	0.00941097	0.00543767	0.020877	0.00910341	0.0310327	0.0131678	0.00240919	0.000425192	0.00476233	0.0106635	0.0175147	0.0210572	0.614195	1.42439	0.2116233	1.788377	0.213255	0.470655	0.790477	1.26506	2.1247	4.68922	1.117335	8.450754	0.4743196	0.00545145	0.0267035	0.008124	0.00112044	0.00668809	0.0174189	0.0794504	0.0891609	0.030905	0.00898661	0.000246373	0.0279129	0.0771508	0.00635276	0.114817	0.216118	0.00142568	0.0181925	0.0105117	0.0403576	0.017598	0.0599897	0.0254548	0.00465725	0.000821946	0.00920613	0.0206138	0.033858	0.0407059	0.795691	0.204309	0.7956909	0.5172996
216	-86.60137	-116.5598	29.95841	0.0143342	0.012097	0.00299126	0.00516499	0.0169878	0.0502549	0.047198	0.0539042	0.0163689	0.0263913	0.0377422	0.026506	0.000602927	0.0248526	0.032108	0.113898	0.038816	0.00926361	0.0224687	0.024432	0.00566961	0.0300155	0.034452	0.0056764	0.0456672	0.00283754	0.00921822	0.010995	0.00742645	0.605996	1.4334	0.3705598	1.62944	0.695525	0.837713	0.946253	1.0568	1.19373	1.43776	0.2625384	4.39724	0.4650438	0.0196806	0.016609	0.00410695	0.00709145	0.023324	0.0689992	0.0648021	0.0740095	0.0224743	0.0362348	0.0518194	0.0363923	0.000827809	0.0341222	0.0440838	0.15638	0.0532938	0.0127188	0.0308491	0.0335447	0.00778428	0.0412109	0.047302	0.0077936	0.0627003	0.00389589	0.0126565	0.015096	0.0101964	0.588814	0.411186	0.5888143	0.7283406
252	-99.79669	-129.9546	30.15795	0.00992154	0.011954	0.0266936	0.00417921	0.0131877	0.0245456	0.0118156	0.0251424	0.0492184	0.00489307	0.0124274	0.0520126	0.00425458	0.0861163	0.0465748	0.0584919	0.00419875	0.00520232	0.125056	0.0405616	0.00066284	0.0355411	0.00793558	0.00337422	0.0250591	0.00871378	0.0139562	0.0109442	0.0123375	0.595959	1.44445	0.377001	1.622999	0.861949	0.93011	0.97765	1.02286	1.07514	1.16016	0.1074185	4.305026	0.4538454	0.0134992	0.0162646	0.0363193	0.00568622	0.0179432	0.0333967	0.0160762	0.0342087	0.0669663	0.00665749	0.0169086	0.0707681	0.00578876	0.11717	0.0633696	0.0795839	0.00571281	0.00707827	0.170151	0.055188	0.000901858	0.0483571	0.0107971	0.00459095	0.0340953	0.0118559	0.0189887	0.0148906	0.0167864	0.771896	0.228104	0.7718955	0.7349715
288	-93.81888	-122.2814	28.46256	0.00427412	0.00186542	0.0180303	0.00229854	0.0525102	0.0218675	0.0270094	0.0624468	0.00108467	0.0200045	0.00897465	0.00463604	0.0083928	0.063673	0.0503948	0.0614271	0.00657423	0.0119478	0.0273033	0.0510169	0.00752403	0.031349	0.0957079	0.00719202	0.03394	0.0212371	0.0108001	0.0220055	0.00937418	0.426905	1.6304	0.1294459	1.870554	0.661055	0.817202	0.938963	1.065	1.22369	1.51273	0.299291	14.45046	0.2880239	0.00573814	0.00250439	0.0242062	0.00308587	0.0704966	0.0293578	0.0362609	0.0838367	0.0014562	0.0268567	0.0120487	0.00622402	0.0112676	0.0854829	0.0676566	0.0824678	0.0088261	0.0160402	0.0366555	0.0684917	0.0101012	0.042087	0.128491	0.0096555	0.0455655	0.0285115	0.0144995	0.0295431	0.0125851	0.884741	0.115259	0.8847413	0.7448621
324	-100.3787	-127.9437	27.565	0.0155411	0.000552461	0.000880572	0.036395	0.0367456	0.00710982	0.0408773	0.0226258	0.0370063	0.00114725	0.00629839	0.109558	0.0221867	0.0134648	0.0421433	0.0546521	0.0143182	0.0120992	0.0101287	0.00272411	0.0335165	0.0138682	0.0435809	0.0079304	0.0418201	0.013098	0.027673	0.0222416	0.0019019	1.09516	0.895326	0.1944483	1.805552	0.44639	0.674784	0.88451	1.13057	1.48195	2.24019	0.5831994	9.285511	1.345515	0.0224554	0.000798256	0.00127235	0.0525874	0.0530941	0.010273	0.059064	0.0326922	0.0534707	0.00165766	0.0091006	0.158302	0.0320577	0.0194554	0.0608931	0.0789673	0.0206884	0.0174823	0.0146351	0.00393608	0.0484282	0.0200383	0.0629704	0.0114587	0.0604262	0.0189255	0.0399849	0.032137	0.00274807	0.564659	0.435341	0.5646587	0.6920855
